starttime	seconds	ctime	dtime	ttime	wait
Fri Mar 27 20:32:58 2026	1774639978	186	1163	1349	1163
Fri Mar 27 20:35:41 2026	1774640141	153	1196	1349	1196
Fri Mar 27 20:34:11 2026	1774640051	177	1172	1349	1172
Fri Mar 27 20:32:28 2026	1774639948	158	1191	1349	1190
Fri Mar 27 20:34:07 2026	1774640047	153	1196	1349	1196
Fri Mar 27 20:32:30 2026	1774639950	164	1185	1349	1185
Fri Mar 27 20:35:33 2026	1774640133	163	1186	1349	1186
Fri Mar 27 20:33:25 2026	1774640005	184	1165	1349	1165
Fri Mar 27 20:33:25 2026	1774640005	184	1165	1349	1165
Fri Mar 27 20:34:16 2026	1774640056	166	1183	1349	1183
Fri Mar 27 20:35:14 2026	1774640114	172	1178	1349	1177
Fri Mar 27 20:32:49 2026	1774639969	203	1146	1349	1146
Fri Mar 27 20:32:29 2026	1774639949	142	1207	1349	1206
Fri Mar 27 20:32:40 2026	1774639960	145	1204	1349	1204
Fri Mar 27 20:32:55 2026	1774639975	142	1207	1349	1207
Fri Mar 27 20:33:34 2026	1774640014	176	1173	1349	1173
Fri Mar 27 20:32:27 2026	1774639947	163	1186	1349	1186
Fri Mar 27 20:32:30 2026	1774639950	170	1180	1349	1180
Fri Mar 27 20:35:59 2026	1774640159	173	1177	1349	1177
Fri Mar 27 20:33:36 2026	1774640016	194	1155	1349	1154
Fri Mar 27 20:32:27 2026	1774639947	163	1186	1349	1186
Fri Mar 27 20:32:28 2026	1774639948	159	1191	1349	1191
Fri Mar 27 20:35:29 2026	1774640129	144	1205	1349	1205
Fri Mar 27 20:33:19 2026	1774639999	149	1200	1349	1200
Fri Mar 27 20:35:40 2026	1774640140	153	1197	1349	1197
Fri Mar 27 20:32:27 2026	1774639947	163	1186	1349	1186
Fri Mar 27 20:33:45 2026	1774640025	176	1174	1350	1174
Fri Mar 27 20:32:27 2026	1774639947	163	1186	1350	1186
Fri Mar 27 20:34:07 2026	1774640047	182	1167	1350	1167
Fri Mar 27 20:34:20 2026	1774640060	183	1166	1350	1166
Fri Mar 27 20:32:44 2026	1774639964	185	1164	1350	1164
Fri Mar 27 20:34:50 2026	1774640090	128	1221	1350	1221
Fri Mar 27 20:34:49 2026	1774640089	187	1163	1350	1163
Fri Mar 27 20:33:19 2026	1774639999	212	1137	1350	1137
Fri Mar 27 20:32:30 2026	1774639950	170	1180	1350	1180
Fri Mar 27 20:35:59 2026	1774640159	173	1177	1350	1177
Fri Mar 27 20:34:26 2026	1774640066	146	1204	1350	1204
Fri Mar 27 20:36:22 2026	1774640182	143	1207	1350	1207
Fri Mar 27 20:32:58 2026	1774639978	181	1169	1350	1169
Fri Mar 27 20:34:46 2026	1774640086	144	1206	1350	1206
Fri Mar 27 20:33:50 2026	1774640030	154	1196	1350	1196
Fri Mar 27 20:32:45 2026	1774639965	185	1165	1350	1165
Fri Mar 27 20:34:30 2026	1774640070	142	1208	1350	1208
Fri Mar 27 20:32:55 2026	1774639975	180	1170	1350	1169
Fri Mar 27 20:32:28 2026	1774639948	187	1163	1350	1163
Fri Mar 27 20:33:26 2026	1774640006	175	1175	1350	1175
Fri Mar 27 20:35:30 2026	1774640130	184	1166	1350	1166
Fri Mar 27 20:35:07 2026	1774640107	183	1167	1350	1167
Fri Mar 27 20:35:07 2026	1774640107	183	1167	1350	1167
Fri Mar 27 20:34:36 2026	1774640076	149	1201	1350	1201
Fri Mar 27 20:35:39 2026	1774640139	144	1206	1350	1206
Fri Mar 27 20:32:28 2026	1774639948	187	1163	1350	1163
Fri Mar 27 20:34:30 2026	1774640070	142	1208	1350	1208
Fri Mar 27 20:34:20 2026	1774640060	150	1200	1350	1200
Fri Mar 27 20:34:50 2026	1774640090	149	1202	1350	1202
Fri Mar 27 20:33:51 2026	1774640031	178	1172	1350	1172
Fri Mar 27 20:34:40 2026	1774640080	167	1183	1350	1183
Fri Mar 27 20:34:56 2026	1774640096	160	1190	1350	1189
Fri Mar 27 20:32:31 2026	1774639951	118	1232	1351	1232
Fri Mar 27 20:36:09 2026	1774640169	175	1176	1351	1176
Fri Mar 27 20:32:49 2026	1774639969	172	1179	1351	1178
Fri Mar 27 20:35:06 2026	1774640106	155	1196	1351	1196
Fri Mar 27 20:35:02 2026	1774640102	172	1178	1351	1178
Fri Mar 27 20:35:45 2026	1774640145	165	1186	1351	1186
Fri Mar 27 20:33:09 2026	1774639989	187	1163	1351	1163
Fri Mar 27 20:32:28 2026	1774639948	188	1163	1351	1163
Fri Mar 27 20:34:40 2026	1774640080	168	1183	1351	1183
Fri Mar 27 20:34:57 2026	1774640097	167	1184	1351	1184
Fri Mar 27 20:35:07 2026	1774640107	165	1185	1351	1185
Fri Mar 27 20:34:40 2026	1774640080	173	1178	1351	1178
Fri Mar 27 20:34:40 2026	1774640080	167	1184	1351	1183
Fri Mar 27 20:34:57 2026	1774640097	167	1184	1351	1184
Fri Mar 27 20:32:41 2026	1774639961	187	1164	1351	1164
Fri Mar 27 20:33:36 2026	1774640016	183	1168	1351	1168
Fri Mar 27 20:34:57 2026	1774640097	204	1147	1351	1147
Fri Mar 27 20:33:23 2026	1774640003	178	1173	1351	1173
Fri Mar 27 20:32:56 2026	1774639976	168	1184	1351	1184
Fri Mar 27 20:36:16 2026	1774640176	152	1200	1351	1199
Fri Mar 27 20:34:31 2026	1774640071	140	1211	1351	1211
Fri Mar 27 20:36:19 2026	1774640179	129	1223	1351	1223
Fri Mar 27 20:34:27 2026	1774640067	145	1206	1351	1206
Fri Mar 27 20:32:41 2026	1774639961	187	1165	1351	1164
Fri Mar 27 20:34:06 2026	1774640046	176	1175	1351	1175
Fri Mar 27 20:34:49 2026	1774640089	188	1163	1352	1163
Fri Mar 27 20:32:28 2026	1774639948	187	1165	1352	1165
Fri Mar 27 20:32:54 2026	1774639974	192	1160	1352	1160
Fri Mar 27 20:34:14 2026	1774640054	143	1209	1352	1209
Fri Mar 27 20:34:10 2026	1774640050	210	1142	1352	1142
Fri Mar 27 20:33:09 2026	1774639989	187	1164	1352	1164
Fri Mar 27 20:32:31 2026	1774639951	172	1180	1352	1180
Fri Mar 27 20:32:56 2026	1774639976	151	1201	1352	1201
Fri Mar 27 20:32:56 2026	1774639976	154	1197	1352	1197
Fri Mar 27 20:33:49 2026	1774640029	180	1172	1352	1172
Fri Mar 27 20:32:28 2026	1774639948	187	1165	1352	1165
Fri Mar 27 20:36:15 2026	1774640175	168	1184	1352	1184
Fri Mar 27 20:34:10 2026	1774640050	210	1142	1352	1142
Fri Mar 27 20:32:45 2026	1774639965	186	1166	1352	1165
Fri Mar 27 20:35:45 2026	1774640145	142	1210	1352	1210
Fri Mar 27 20:34:35 2026	1774640075	193	1159	1352	1159
Fri Mar 27 20:33:42 2026	1774640022	153	1200	1352	1199
Fri Mar 27 20:34:21 2026	1774640061	154	1198	1352	1198
Fri Mar 27 20:34:11 2026	1774640051	132	1220	1352	1220
Fri Mar 27 20:32:30 2026	1774639950	163	1189	1352	1189
Fri Mar 27 20:34:13 2026	1774640053	134	1218	1352	1218
Fri Mar 27 20:34:14 2026	1774640054	142	1210	1352	1210
Fri Mar 27 20:33:18 2026	1774639998	175	1177	1352	1177
Fri Mar 27 20:35:05 2026	1774640105	179	1173	1352	1173
Fri Mar 27 20:32:28 2026	1774639948	187	1165	1352	1165
Fri Mar 27 20:32:42 2026	1774639962	173	1179	1353	1179
Fri Mar 27 20:33:33 2026	1774640013	154	1199	1353	1199
Fri Mar 27 20:34:21 2026	1774640061	145	1208	1353	1207
Fri Mar 27 20:32:28 2026	1774639948	187	1165	1353	1165
Fri Mar 27 20:32:28 2026	1774639948	188	1165	1353	1165
Fri Mar 27 20:36:20 2026	1774640180	145	1208	1353	1208
Fri Mar 27 20:36:19 2026	1774640179	136	1217	1353	1217
Fri Mar 27 20:32:28 2026	1774639948	188	1165	1353	1165
Fri Mar 27 20:34:21 2026	1774640061	145	1208	1353	1207
Fri Mar 27 20:35:06 2026	1774640106	176	1176	1353	1176
Fri Mar 27 20:36:19 2026	1774640179	161	1191	1353	1191
Fri Mar 27 20:33:44 2026	1774640024	153	1200	1353	1200
Fri Mar 27 20:32:28 2026	1774639948	188	1165	1353	1165
Fri Mar 27 20:32:28 2026	1774639948	188	1165	1353	1165
Fri Mar 27 20:34:22 2026	1774640062	186	1166	1353	1166
Fri Mar 27 20:32:27 2026	1774639947	149	1204	1353	1204
Fri Mar 27 20:35:12 2026	1774640112	153	1200	1353	1200
Fri Mar 27 20:34:27 2026	1774640067	140	1213	1353	1213
Fri Mar 27 20:32:28 2026	1774639948	188	1165	1353	1164
Fri Mar 27 20:32:57 2026	1774639977	178	1175	1353	1175
Fri Mar 27 20:32:28 2026	1774639948	187	1166	1353	1165
Fri Mar 27 20:34:31 2026	1774640071	144	1209	1353	1209
Fri Mar 27 20:33:40 2026	1774640020	155	1198	1353	1198
Fri Mar 27 20:32:58 2026	1774639978	141	1212	1353	1212
Fri Mar 27 20:35:43 2026	1774640143	109	1244	1353	1213
Fri Mar 27 20:34:06 2026	1774640046	140	1213	1353	1213
Fri Mar 27 20:33:32 2026	1774640012	138	1216	1353	1215
Fri Mar 27 20:32:28 2026	1774639948	188	1165	1353	1165
Fri Mar 27 20:32:28 2026	1774639948	189	1165	1353	1164
Fri Mar 27 20:35:40 2026	1774640140	153	1201	1353	1201
Fri Mar 27 20:35:33 2026	1774640133	165	1188	1353	1188
Fri Mar 27 20:32:28 2026	1774639948	188	1165	1353	1165
Fri Mar 27 20:32:28 2026	1774639948	188	1166	1353	1165
Fri Mar 27 20:32:28 2026	1774639948	189	1165	1353	1165
Fri Mar 27 20:34:37 2026	1774640077	151	1202	1353	1202
Fri Mar 27 20:32:28 2026	1774639948	188	1165	1353	1164
Fri Mar 27 20:34:00 2026	1774640040	141	1212	1353	1212
Fri Mar 27 20:32:43 2026	1774639963	156	1197	1353	1197
Fri Mar 27 20:33:53 2026	1774640033	144	1209	1353	1209
Fri Mar 27 20:32:28 2026	1774639948	188	1166	1353	1166
Fri Mar 27 20:34:00 2026	1774640040	141	1212	1354	1212
Fri Mar 27 20:33:55 2026	1774640035	148	1205	1354	1205
Fri Mar 27 20:34:28 2026	1774640068	150	1204	1354	1204
Fri Mar 27 20:33:35 2026	1774640015	138	1216	1354	1216
Fri Mar 27 20:35:21 2026	1774640121	176	1177	1354	1177
Fri Mar 27 20:32:28 2026	1774639948	188	1166	1354	1166
Fri Mar 27 20:34:36 2026	1774640076	167	1187	1354	1187
Fri Mar 27 20:34:36 2026	1774640076	165	1189	1354	1189
Fri Mar 27 20:34:25 2026	1774640065	165	1189	1354	1189
Fri Mar 27 20:32:52 2026	1774639972	154	1201	1354	1201
Fri Mar 27 20:34:02 2026	1774640042	186	1168	1354	1168
Fri Mar 27 20:36:15 2026	1774640175	168	1186	1354	1186
Fri Mar 27 20:33:30 2026	1774640010	171	1183	1354	1183
Fri Mar 27 20:35:32 2026	1774640132	141	1213	1354	1213
Fri Mar 27 20:34:02 2026	1774640042	186	1168	1354	1168
Fri Mar 27 20:35:32 2026	1774640132	143	1212	1354	1211
Fri Mar 27 20:32:28 2026	1774639948	188	1166	1354	1166
Fri Mar 27 20:35:15 2026	1774640115	150	1204	1354	1204
Fri Mar 27 20:33:38 2026	1774640018	144	1211	1354	1211
Fri Mar 27 20:34:12 2026	1774640052	199	1155	1354	1155
Fri Mar 27 20:35:15 2026	1774640115	169	1185	1354	1185
Fri Mar 27 20:33:33 2026	1774640013	151	1204	1354	1204
Fri Mar 27 20:33:13 2026	1774639993	154	1201	1354	1201
Fri Mar 27 20:33:26 2026	1774640006	190	1164	1354	1164
Fri Mar 27 20:32:46 2026	1774639966	147	1208	1354	1208
Fri Mar 27 20:34:31 2026	1774640071	118	1237	1354	1237
Fri Mar 27 20:32:28 2026	1774639948	189	1166	1354	1166
Fri Mar 27 20:34:02 2026	1774640042	186	1168	1355	1168
Fri Mar 27 20:35:42 2026	1774640142	163	1192	1355	1191
Fri Mar 27 20:33:13 2026	1774639993	154	1201	1355	1201
Fri Mar 27 20:33:12 2026	1774639992	156	1198	1355	1198
Fri Mar 27 20:34:14 2026	1774640054	145	1210	1355	1210
Fri Mar 27 20:32:59 2026	1774639979	154	1201	1355	1201
Fri Mar 27 20:33:06 2026	1774639986	149	1206	1355	1206
Fri Mar 27 20:32:52 2026	1774639972	178	1177	1355	1177
Fri Mar 27 20:32:53 2026	1774639973	155	1199	1355	1199
Fri Mar 27 20:32:50 2026	1774639970	181	1173	1355	1173
Fri Mar 27 20:35:42 2026	1774640142	161	1194	1355	1194
Fri Mar 27 20:32:26 2026	1774639946	165	1190	1355	1190
Fri Mar 27 20:35:42 2026	1774640142	163	1192	1355	1192
Fri Mar 27 20:32:55 2026	1774639975	183	1172	1355	1172
Fri Mar 27 20:33:41 2026	1774640021	135	1219	1355	1219
Fri Mar 27 20:35:42 2026	1774640142	163	1192	1355	1191
Fri Mar 27 20:34:43 2026	1774640083	153	1202	1355	1202
Fri Mar 27 20:35:24 2026	1774640124	138	1217	1355	1217
Fri Mar 27 20:33:16 2026	1774639996	149	1206	1355	1206
Fri Mar 27 20:35:42 2026	1774640142	166	1189	1355	1189
Fri Mar 27 20:35:24 2026	1774640124	139	1217	1355	1217
Fri Mar 27 20:35:33 2026	1774640133	169	1186	1355	1186
Fri Mar 27 20:36:05 2026	1774640165	168	1187	1355	1187
Fri Mar 27 20:33:46 2026	1774640026	169	1186	1355	1186
Fri Mar 27 20:34:27 2026	1774640067	158	1197	1355	1197
Fri Mar 27 20:33:10 2026	1774639990	147	1209	1355	1207
Fri Mar 27 20:35:33 2026	1774640133	167	1188	1355	1188
Fri Mar 27 20:33:47 2026	1774640027	149	1207	1355	1206
Fri Mar 27 20:36:05 2026	1774640165	168	1187	1355	1187
Fri Mar 27 20:35:19 2026	1774640119	196	1160	1355	1160
Fri Mar 27 20:35:19 2026	1774640119	196	1160	1355	1160
Fri Mar 27 20:32:31 2026	1774639951	119	1237	1355	1237
Fri Mar 27 20:34:47 2026	1774640087	186	1170	1356	1170
Fri Mar 27 20:32:34 2026	1774639954	146	1209	1356	1209
Fri Mar 27 20:33:41 2026	1774640021	166	1190	1356	1190
Fri Mar 27 20:34:47 2026	1774640087	186	1170	1356	1170
Fri Mar 27 20:34:30 2026	1774640070	191	1165	1356	1165
Fri Mar 27 20:34:57 2026	1774640097	172	1184	1356	1184
Fri Mar 27 20:36:20 2026	1774640180	143	1212	1356	1212
Fri Mar 27 20:34:16 2026	1774640056	166	1190	1356	1184
Fri Mar 27 20:33:28 2026	1774640008	141	1215	1356	1215
Fri Mar 27 20:32:48 2026	1774639968	150	1206	1356	1206
Fri Mar 27 20:33:04 2026	1774639984	156	1200	1356	1200
Fri Mar 27 20:33:08 2026	1774639988	186	1170	1356	1170
Fri Mar 27 20:34:00 2026	1774640040	143	1213	1356	1212
Fri Mar 27 20:34:35 2026	1774640075	159	1197	1356	1197
Fri Mar 27 20:32:50 2026	1774639970	186	1170	1356	1170
Fri Mar 27 20:34:12 2026	1774640052	199	1157	1356	1157
Fri Mar 27 20:35:40 2026	1774640140	130	1226	1356	1226
Fri Mar 27 20:32:32 2026	1774639952	154	1202	1356	1202
Fri Mar 27 20:33:16 2026	1774639996	147	1209	1356	1209
Fri Mar 27 20:32:39 2026	1774639959	155	1201	1356	1201
Fri Mar 27 20:36:13 2026	1774640173	153	1202	1356	1202
Fri Mar 27 20:32:43 2026	1774639963	146	1210	1356	1210
Fri Mar 27 20:34:23 2026	1774640063	140	1216	1356	1216
Fri Mar 27 20:33:18 2026	1774639998	186	1170	1356	1169
Fri Mar 27 20:36:18 2026	1774640178	157	1199	1356	1199
Fri Mar 27 20:33:26 2026	1774640006	140	1216	1356	1216
Fri Mar 27 20:32:34 2026	1774639954	172	1184	1356	1184
Fri Mar 27 20:33:39 2026	1774640019	192	1165	1356	1164
Fri Mar 27 20:32:34 2026	1774639954	172	1184	1356	1184
Fri Mar 27 20:32:28 2026	1774639948	157	1199	1356	1199
Fri Mar 27 20:34:08 2026	1774640048	127	1229	1356	1229
Fri Mar 27 20:36:08 2026	1774640168	163	1193	1356	1193
Fri Mar 27 20:36:25 2026	1774640185	143	1213	1356	1213
Fri Mar 27 20:36:25 2026	1774640185	146	1211	1356	1211
Fri Mar 27 20:35:40 2026	1774640140	130	1226	1356	1226
Fri Mar 27 20:32:28 2026	1774639948	158	1198	1356	1198
Fri Mar 27 20:34:30 2026	1774640070	191	1166	1356	1165
Fri Mar 27 20:36:12 2026	1774640172	146	1210	1356	1210
Fri Mar 27 20:34:25 2026	1774640065	188	1169	1356	1169
Fri Mar 27 20:34:35 2026	1774640075	123	1233	1356	1233
Fri Mar 27 20:32:28 2026	1774639948	158	1198	1356	1198
Fri Mar 27 20:34:27 2026	1774640067	190	1167	1356	1166
Fri Mar 27 20:34:43 2026	1774640083	188	1169	1356	1169
Fri Mar 27 20:33:14 2026	1774639994	142	1214	1356	1214
Fri Mar 27 20:36:19 2026	1774640179	125	1231	1356	1231
Fri Mar 27 20:32:28 2026	1774639948	149	1208	1357	1207
Fri Mar 27 20:32:28 2026	1774639948	189	1168	1357	1168
Fri Mar 27 20:33:14 2026	1774639994	177	1179	1357	1179
Fri Mar 27 20:33:27 2026	1774640007	149	1208	1357	1208
Fri Mar 27 20:32:46 2026	1774639966	151	1206	1357	1206
Fri Mar 27 20:35:46 2026	1774640146	184	1173	1357	1172
Fri Mar 27 20:32:55 2026	1774639975	184	1172	1357	1170
Fri Mar 27 20:32:49 2026	1774639969	168	1188	1357	1188
Fri Mar 27 20:32:28 2026	1774639948	152	1205	1357	1204
Fri Mar 27 20:32:28 2026	1774639948	158	1198	1357	1198
Fri Mar 27 20:33:31 2026	1774640011	165	1192	1357	1191
Fri Mar 27 20:32:39 2026	1774639959	185	1172	1357	1172
Fri Mar 27 20:32:39 2026	1774639959	185	1172	1357	1172
Fri Mar 27 20:34:30 2026	1774640070	148	1209	1357	1209
Fri Mar 27 20:33:37 2026	1774640017	180	1177	1357	1177
Fri Mar 27 20:34:35 2026	1774640075	152	1205	1357	1205
Fri Mar 27 20:32:55 2026	1774639975	174	1183	1357	1183
Fri Mar 27 20:33:08 2026	1774639988	156	1201	1357	1201
Fri Mar 27 20:33:14 2026	1774639994	176	1181	1357	1181
Fri Mar 27 20:32:28 2026	1774639948	192	1165	1357	1165
Fri Mar 27 20:33:47 2026	1774640027	174	1183	1357	1183
Fri Mar 27 20:36:11 2026	1774640171	153	1204	1357	1204
Fri Mar 27 20:34:27 2026	1774640067	158	1199	1357	1198
Fri Mar 27 20:34:30 2026	1774640070	191	1166	1357	1166
Fri Mar 27 20:34:53 2026	1774640093	166	1191	1357	1191
Fri Mar 27 20:34:55 2026	1774640095	173	1185	1357	1185
Fri Mar 27 20:34:30 2026	1774640070	191	1166	1357	1166
Fri Mar 27 20:34:26 2026	1774640066	158	1200	1358	1198
Fri Mar 27 20:33:34 2026	1774640014	165	1192	1358	1192
Fri Mar 27 20:34:13 2026	1774640053	139	1218	1358	1218
Fri Mar 27 20:35:15 2026	1774640115	172	1185	1358	1185
Fri Mar 27 20:34:17 2026	1774640057	136	1222	1358	1222
Fri Mar 27 20:35:08 2026	1774640108	178	1180	1358	1180
Fri Mar 27 20:34:02 2026	1774640042	114	1243	1358	1243
Fri Mar 27 20:33:46 2026	1774640026	125	1233	1358	1233
Fri Mar 27 20:36:16 2026	1774640176	158	1199	1358	1199
Fri Mar 27 20:34:40 2026	1774640080	157	1201	1358	1201
Fri Mar 27 20:35:08 2026	1774640108	179	1179	1358	1179
Fri Mar 27 20:36:16 2026	1774640176	158	1200	1358	1199
Fri Mar 27 20:33:55 2026	1774640035	131	1227	1358	1227
Fri Mar 27 20:33:13 2026	1774639993	168	1189	1358	1189
Fri Mar 27 20:36:16 2026	1774640176	158	1199	1358	1199
Fri Mar 27 20:35:08 2026	1774640108	179	1179	1358	1179
Fri Mar 27 20:34:13 2026	1774640053	183	1175	1358	1175
Fri Mar 27 20:36:22 2026	1774640182	183	1175	1358	1175
Fri Mar 27 20:34:38 2026	1774640078	130	1228	1358	1228
Fri Mar 27 20:32:36 2026	1774639956	156	1202	1358	1202
Fri Mar 27 20:34:14 2026	1774640054	190	1168	1358	1168
Fri Mar 27 20:33:00 2026	1774639980	110	1248	1358	1248
Fri Mar 27 20:33:00 2026	1774639980	152	1206	1358	1206
Fri Mar 27 20:33:27 2026	1774640007	156	1202	1358	1202
Fri Mar 27 20:33:13 2026	1774639993	169	1190	1358	1189
Fri Mar 27 20:33:27 2026	1774640007	153	1205	1358	1204
Fri Mar 27 20:33:27 2026	1774640007	156	1203	1358	1202
Fri Mar 27 20:34:37 2026	1774640077	132	1226	1358	1226
Fri Mar 27 20:33:08 2026	1774639988	195	1163	1358	1162
Fri Mar 27 20:33:46 2026	1774640026	127	1231	1358	1231
Fri Mar 27 20:32:34 2026	1774639954	174	1184	1358	1184
Fri Mar 27 20:33:15 2026	1774639995	148	1210	1358	1210
Fri Mar 27 20:33:25 2026	1774640005	171	1187	1358	1187
Fri Mar 27 20:36:08 2026	1774640168	133	1226	1358	1226
Fri Mar 27 20:32:44 2026	1774639964	182	1176	1358	1176
Fri Mar 27 20:36:12 2026	1774640172	151	1208	1358	1207
Fri Mar 27 20:35:13 2026	1774640113	179	1179	1358	1179
Fri Mar 27 20:32:47 2026	1774639967	124	1234	1358	1234
Fri Mar 27 20:32:45 2026	1774639965	151	1207	1359	1207
Fri Mar 27 20:33:32 2026	1774640012	147	1212	1359	1212
Fri Mar 27 20:33:45 2026	1774640025	164	1194	1359	1194
Fri Mar 27 20:32:49 2026	1774639969	151	1208	1359	1208
Fri Mar 27 20:35:13 2026	1774640113	179	1179	1359	1179
Fri Mar 27 20:33:15 2026	1774639995	152	1206	1359	1206
Fri Mar 27 20:33:49 2026	1774640029	173	1186	1359	1185
Fri Mar 27 20:32:44 2026	1774639964	183	1176	1359	1176
Fri Mar 27 20:33:25 2026	1774640005	176	1183	1359	1183
Fri Mar 27 20:35:07 2026	1774640107	172	1186	1359	1186
Fri Mar 27 20:32:42 2026	1774639962	163	1195	1359	1195
Fri Mar 27 20:33:18 2026	1774639998	190	1169	1359	1168
Fri Mar 27 20:33:32 2026	1774640012	146	1213	1359	1213
Fri Mar 27 20:35:15 2026	1774640115	184	1175	1359	1174
Fri Mar 27 20:32:33 2026	1774639953	161	1197	1359	1197
Fri Mar 27 20:32:50 2026	1774639970	188	1171	1359	1170
Fri Mar 27 20:32:44 2026	1774639964	183	1176	1359	1176
Fri Mar 27 20:32:34 2026	1774639954	174	1184	1359	1184
Fri Mar 27 20:32:58 2026	1774639978	126	1232	1359	1232
Fri Mar 27 20:32:34 2026	1774639954	171	1188	1359	1187
Fri Mar 27 20:33:11 2026	1774639991	164	1195	1359	1195
Fri Mar 27 20:33:30 2026	1774640010	175	1184	1359	1184
Fri Mar 27 20:32:33 2026	1774639953	140	1219	1359	1219
Fri Mar 27 20:32:37 2026	1774639957	140	1219	1359	1219
Fri Mar 27 20:34:20 2026	1774640060	152	1207	1359	1207
Fri Mar 27 20:36:25 2026	1774640185	163	1196	1359	1195
Fri Mar 27 20:32:28 2026	1774639948	189	1170	1359	1170
Fri Mar 27 20:33:36 2026	1774640016	159	1200	1359	1200
Fri Mar 27 20:34:19 2026	1774640059	182	1178	1359	1178
Fri Mar 27 20:34:45 2026	1774640085	186	1173	1359	1173
Fri Mar 27 20:32:39 2026	1774639959	189	1170	1359	1170
Fri Mar 27 20:36:21 2026	1774640181	156	1203	1359	1203
Fri Mar 27 20:34:49 2026	1774640089	193	1166	1359	1166
Fri Mar 27 20:33:54 2026	1774640034	173	1187	1359	1187
Fri Mar 27 20:32:47 2026	1774639967	128	1232	1360	1232
Fri Mar 27 20:33:51 2026	1774640031	179	1180	1360	1180
Fri Mar 27 20:34:55 2026	1774640095	154	1206	1360	1206
Fri Mar 27 20:35:29 2026	1774640129	148	1212	1360	1212
Fri Mar 27 20:33:46 2026	1774640026	138	1222	1360	1222
Fri Mar 27 20:35:15 2026	1774640115	185	1175	1360	1175
Fri Mar 27 20:33:40 2026	1774640020	141	1219	1360	1219
Fri Mar 27 20:33:54 2026	1774640034	173	1187	1360	1187
Fri Mar 27 20:34:45 2026	1774640085	157	1203	1360	1203
Fri Mar 27 20:36:25 2026	1774640185	129	1231	1360	1230
Fri Mar 27 20:33:11 2026	1774639991	152	1207	1360	1207
Fri Mar 27 20:33:11 2026	1774639991	149	1211	1360	1211
Fri Mar 27 20:33:54 2026	1774640034	172	1187	1360	1187
Fri Mar 27 20:34:03 2026	1774640043	189	1170	1360	1170
Fri Mar 27 20:34:30 2026	1774640070	191	1169	1360	1169
Fri Mar 27 20:32:43 2026	1774639963	140	1220	1360	1220
Fri Mar 27 20:34:54 2026	1774640094	114	1246	1360	1246
Fri Mar 27 20:33:49 2026	1774640029	175	1185	1360	1185
Fri Mar 27 20:34:03 2026	1774640043	189	1171	1360	1170
Fri Mar 27 20:35:17 2026	1774640117	127	1233	1360	1233
Fri Mar 27 20:34:17 2026	1774640057	172	1188	1360	1188
Fri Mar 27 20:33:54 2026	1774640034	173	1187	1360	1187
Fri Mar 27 20:34:44 2026	1774640084	161	1199	1360	1199
Fri Mar 27 20:34:32 2026	1774640072	159	1201	1360	1201
Fri Mar 27 20:32:54 2026	1774639974	144	1216	1360	1216
Fri Mar 27 20:34:22 2026	1774640062	139	1221	1360	1221
Fri Mar 27 20:35:10 2026	1774640110	164	1196	1360	1196
Fri Mar 27 20:33:02 2026	1774639982	215	1145	1360	1145
Fri Mar 27 20:36:13 2026	1774640173	162	1199	1361	1199
Fri Mar 27 20:32:33 2026	1774639953	142	1218	1361	1218
Fri Mar 27 20:33:28 2026	1774640008	182	1178	1361	1178
Fri Mar 27 20:36:13 2026	1774640173	175	1186	1361	1186
Fri Mar 27 20:33:41 2026	1774640021	139	1222	1361	1222
Fri Mar 27 20:35:29 2026	1774640129	173	1188	1361	1188
Fri Mar 27 20:35:29 2026	1774640129	147	1214	1361	1213
Fri Mar 27 20:35:41 2026	1774640141	136	1225	1361	1225
Fri Mar 27 20:33:02 2026	1774639982	134	1227	1361	1227
Fri Mar 27 20:35:29 2026	1774640129	140	1221	1361	1221
Fri Mar 27 20:35:11 2026	1774640111	143	1218	1361	1218
Fri Mar 27 20:35:14 2026	1774640114	202	1159	1361	1159
Fri Mar 27 20:35:19 2026	1774640119	162	1199	1361	1187
Fri Mar 27 20:36:24 2026	1774640184	156	1205	1361	1205
Fri Mar 27 20:34:36 2026	1774640076	167	1195	1361	1194
Fri Mar 27 20:36:07 2026	1774640167	160	1201	1361	1201
Fri Mar 27 20:33:09 2026	1774639989	178	1183	1362	1183
Fri Mar 27 20:33:28 2026	1774640008	183	1179	1362	1179
Fri Mar 27 20:36:25 2026	1774640185	134	1228	1362	1227
Fri Mar 27 20:32:54 2026	1774639974	146	1216	1362	1216
Fri Mar 27 20:36:07 2026	1774640167	186	1176	1362	1175
Fri Mar 27 20:36:19 2026	1774640179	153	1209	1362	1209
Fri Mar 27 20:34:59 2026	1774640099	182	1180	1362	1180
Fri Mar 27 20:35:08 2026	1774640108	179	1183	1362	1183
Fri Mar 27 20:36:04 2026	1774640164	184	1177	1362	1177
Fri Mar 27 20:36:26 2026	1774640186	154	1208	1362	1208
Fri Mar 27 20:36:04 2026	1774640164	185	1177	1362	1177
Fri Mar 27 20:32:46 2026	1774639966	162	1200	1362	1200
Fri Mar 27 20:36:25 2026	1774640185	136	1226	1362	1226
Fri Mar 27 20:32:29 2026	1774639949	164	1198	1362	1198
Fri Mar 27 20:35:06 2026	1774640106	168	1194	1362	1194
Fri Mar 27 20:32:40 2026	1774639960	162	1200	1362	1200
