starttime	seconds	ctime	dtime	ttime	wait
Fri Mar 27 20:33:57 2026	1774640037	134	1133	1267	1133
Fri Mar 27 20:36:20 2026	1774640180	123	1144	1267	1144
Fri Mar 27 20:34:58 2026	1774640098	129	1138	1267	1138
Fri Mar 27 20:33:14 2026	1774639994	107	1160	1267	1160
Fri Mar 27 20:34:01 2026	1774640041	129	1139	1267	1139
Fri Mar 27 20:33:34 2026	1774640014	136	1131	1268	1131
Fri Mar 27 20:34:38 2026	1774640078	111	1156	1268	1156
Fri Mar 27 20:34:47 2026	1774640087	125	1142	1268	1142
Fri Mar 27 20:33:14 2026	1774639994	132	1135	1268	1135
Fri Mar 27 20:34:00 2026	1774640040	124	1144	1268	1144
Fri Mar 27 20:36:20 2026	1774640180	124	1144	1268	1144
Fri Mar 27 20:34:09 2026	1774640049	119	1150	1268	1150
Fri Mar 27 20:33:56 2026	1774640036	126	1143	1269	1143
Fri Mar 27 20:36:26 2026	1774640186	118	1151	1269	1151
Fri Mar 27 20:34:09 2026	1774640049	119	1150	1269	1150
Fri Mar 27 20:36:18 2026	1774640178	124	1145	1269	1145
Fri Mar 27 20:34:00 2026	1774640040	125	1144	1269	1144
Fri Mar 27 20:32:34 2026	1774639954	134	1135	1269	1135
Fri Mar 27 20:34:17 2026	1774640057	139	1130	1269	1130
Fri Mar 27 20:36:18 2026	1774640178	127	1142	1270	1142
Fri Mar 27 20:33:59 2026	1774640039	124	1146	1270	1146
Fri Mar 27 20:33:25 2026	1774640005	134	1136	1270	1136
Fri Mar 27 20:34:51 2026	1774640091	122	1148	1270	1148
Fri Mar 27 20:34:51 2026	1774640091	122	1148	1270	1148
Fri Mar 27 20:33:45 2026	1774640025	136	1134	1270	1134
Fri Mar 27 20:33:59 2026	1774640039	125	1145	1270	1145
Fri Mar 27 20:33:45 2026	1774640025	136	1134	1270	1134
Fri Mar 27 20:33:57 2026	1774640037	134	1136	1270	1136
Fri Mar 27 20:34:12 2026	1774640052	143	1128	1270	1128
Fri Mar 27 20:33:28 2026	1774640008	121	1150	1270	1150
Fri Mar 27 20:35:08 2026	1774640108	145	1126	1271	1126
Fri Mar 27 20:34:22 2026	1774640062	133	1138	1271	1138
Fri Mar 27 20:35:20 2026	1774640120	134	1137	1271	1137
Fri Mar 27 20:33:59 2026	1774640039	125	1145	1271	1145
Fri Mar 27 20:33:24 2026	1774640004	121	1150	1271	1150
Fri Mar 27 20:35:56 2026	1774640156	136	1135	1271	1135
Fri Mar 27 20:35:05 2026	1774640105	119	1152	1271	1152
Fri Mar 27 20:32:54 2026	1774639974	133	1138	1271	1138
Fri Mar 27 20:33:35 2026	1774640015	136	1135	1271	1135
Fri Mar 27 20:35:04 2026	1774640104	153	1118	1271	1118
Fri Mar 27 20:33:51 2026	1774640031	134	1137	1271	1137
Fri Mar 27 20:36:20 2026	1774640180	124	1147	1271	1144
Fri Mar 27 20:33:24 2026	1774640004	121	1150	1271	1150
Fri Mar 27 20:33:58 2026	1774640038	129	1142	1272	1142
Fri Mar 27 20:33:59 2026	1774640039	122	1150	1272	1150
Fri Mar 27 20:33:48 2026	1774640028	138	1134	1272	1134
Fri Mar 27 20:34:19 2026	1774640059	118	1154	1272	1154
Fri Mar 27 20:33:56 2026	1774640036	125	1148	1272	1148
Fri Mar 27 20:36:14 2026	1774640174	135	1137	1273	1137
Fri Mar 27 20:33:51 2026	1774640031	144	1128	1273	1127
Fri Mar 27 20:32:27 2026	1774639947	138	1135	1273	1135
Fri Mar 27 20:33:56 2026	1774640036	129	1144	1273	1144
Fri Mar 27 20:32:27 2026	1774639947	138	1135	1273	1135
Fri Mar 27 20:34:32 2026	1774640072	142	1131	1273	1131
Fri Mar 27 20:34:32 2026	1774640072	142	1131	1273	1130
Fri Mar 27 20:34:33 2026	1774640073	112	1161	1273	1161
Fri Mar 27 20:32:42 2026	1774639962	137	1136	1274	1136
Fri Mar 27 20:36:21 2026	1774640181	133	1141	1274	1141
Fri Mar 27 20:32:28 2026	1774639948	138	1135	1274	1135
Fri Mar 27 20:32:28 2026	1774639948	138	1136	1274	1135
Fri Mar 27 20:32:28 2026	1774639948	138	1136	1274	1136
Fri Mar 27 20:32:31 2026	1774639951	139	1135	1274	1135
Fri Mar 27 20:33:56 2026	1774640036	129	1146	1274	1146
Fri Mar 27 20:32:28 2026	1774639948	138	1136	1274	1135
Fri Mar 27 20:32:34 2026	1774639954	140	1134	1274	1134
Fri Mar 27 20:35:31 2026	1774640131	127	1148	1274	1147
Fri Mar 27 20:34:33 2026	1774640073	113	1161	1275	1161
Fri Mar 27 20:34:05 2026	1774640045	138	1137	1275	1137
Fri Mar 27 20:32:29 2026	1774639949	121	1154	1275	1153
Fri Mar 27 20:36:19 2026	1774640179	133	1142	1275	1141
Fri Mar 27 20:34:59 2026	1774640099	135	1140	1275	1140
Fri Mar 27 20:34:54 2026	1774640094	135	1141	1276	1141
Fri Mar 27 20:34:04 2026	1774640044	140	1136	1276	1136
Fri Mar 27 20:33:38 2026	1774640018	115	1160	1276	1160
Fri Mar 27 20:33:59 2026	1774640039	123	1153	1276	1153
Fri Mar 27 20:33:56 2026	1774640036	131	1145	1276	1145
Fri Mar 27 20:33:55 2026	1774640035	142	1134	1276	1134
Fri Mar 27 20:33:56 2026	1774640036	151	1125	1276	1125
Fri Mar 27 20:35:04 2026	1774640104	113	1163	1276	1163
Fri Mar 27 20:35:41 2026	1774640141	112	1164	1276	1164
Fri Mar 27 20:32:29 2026	1774639949	123	1153	1276	1152
Fri Mar 27 20:32:39 2026	1774639959	147	1129	1276	1129
Fri Mar 27 20:32:29 2026	1774639949	148	1129	1277	1129
Fri Mar 27 20:34:59 2026	1774640099	134	1143	1277	1143
Fri Mar 27 20:32:49 2026	1774639969	143	1134	1277	1134
Fri Mar 27 20:34:18 2026	1774640058	124	1153	1277	1153
Fri Mar 27 20:34:17 2026	1774640057	120	1157	1277	1157
Fri Mar 27 20:36:15 2026	1774640175	140	1137	1277	1137
Fri Mar 27 20:34:09 2026	1774640049	140	1137	1277	1136
Fri Mar 27 20:33:57 2026	1774640037	134	1143	1277	1143
Fri Mar 27 20:32:32 2026	1774639952	110	1167	1277	1167
Fri Mar 27 20:34:00 2026	1774640040	144	1133	1277	1133
Fri Mar 27 20:36:08 2026	1774640168	127	1150	1277	1150
Fri Mar 27 20:34:04 2026	1774640044	139	1139	1278	1139
Fri Mar 27 20:35:56 2026	1774640156	143	1134	1278	1134
Fri Mar 27 20:33:43 2026	1774640023	126	1152	1278	1152
Fri Mar 27 20:32:29 2026	1774639949	121	1156	1278	1156
Fri Mar 27 20:34:48 2026	1774640088	109	1169	1278	1169
Fri Mar 27 20:34:09 2026	1774640049	138	1140	1278	1140
Fri Mar 27 20:34:25 2026	1774640065	116	1162	1278	1161
Fri Mar 27 20:35:41 2026	1774640141	111	1168	1278	1168
Fri Mar 27 20:32:29 2026	1774639949	125	1154	1278	1154
Fri Mar 27 20:36:23 2026	1774640183	129	1150	1278	1150
Fri Mar 27 20:33:12 2026	1774639992	114	1164	1278	1164
Fri Mar 27 20:35:30 2026	1774640130	111	1167	1279	1167
Fri Mar 27 20:35:56 2026	1774640156	144	1135	1279	1135
Fri Mar 27 20:34:53 2026	1774640093	142	1136	1279	1136
Fri Mar 27 20:35:46 2026	1774640146	146	1132	1279	1132
Fri Mar 27 20:33:42 2026	1774640022	111	1168	1279	1167
Fri Mar 27 20:35:12 2026	1774640112	125	1154	1279	1154
Fri Mar 27 20:32:58 2026	1774639978	154	1125	1279	1125
Fri Mar 27 20:33:54 2026	1774640034	109	1170	1279	1170
Fri Mar 27 20:34:22 2026	1774640062	134	1145	1279	1145
Fri Mar 27 20:32:40 2026	1774639960	113	1166	1279	1166
Fri Mar 27 20:34:01 2026	1774640041	144	1135	1279	1135
Fri Mar 27 20:33:50 2026	1774640030	126	1153	1279	1153
Fri Mar 27 20:32:57 2026	1774639977	122	1157	1279	1157
Fri Mar 27 20:33:45 2026	1774640025	106	1174	1279	1174
Fri Mar 27 20:34:11 2026	1774640051	125	1154	1279	1154
Fri Mar 27 20:33:12 2026	1774639992	132	1147	1279	1147
Fri Mar 27 20:33:14 2026	1774639994	113	1166	1279	1166
Fri Mar 27 20:36:06 2026	1774640166	144	1136	1279	1136
Fri Mar 27 20:33:55 2026	1774640035	126	1154	1279	1153
Fri Mar 27 20:35:42 2026	1774640142	135	1144	1279	1144
Fri Mar 27 20:33:14 2026	1774639994	113	1166	1279	1166
Fri Mar 27 20:35:00 2026	1774640100	116	1164	1279	1164
Fri Mar 27 20:33:55 2026	1774640035	142	1138	1280	1138
Fri Mar 27 20:32:26 2026	1774639946	135	1144	1280	1144
Fri Mar 27 20:33:57 2026	1774640037	129	1151	1280	1150
Fri Mar 27 20:32:36 2026	1774639956	119	1161	1280	1160
Fri Mar 27 20:33:22 2026	1774640002	128	1152	1280	1152
Fri Mar 27 20:34:09 2026	1774640049	129	1150	1280	1150
Fri Mar 27 20:33:54 2026	1774640034	114	1166	1280	1166
Fri Mar 27 20:33:32 2026	1774640012	146	1134	1280	1133
Fri Mar 27 20:36:26 2026	1774640186	110	1170	1280	1170
Fri Mar 27 20:32:42 2026	1774639962	143	1137	1280	1137
Fri Mar 27 20:33:06 2026	1774639986	147	1133	1280	1133
Fri Mar 27 20:35:39 2026	1774640139	112	1168	1280	1168
Fri Mar 27 20:33:59 2026	1774640039	115	1165	1280	1165
Fri Mar 27 20:36:13 2026	1774640173	122	1159	1280	1158
Fri Mar 27 20:32:35 2026	1774639955	115	1165	1280	1165
Fri Mar 27 20:33:52 2026	1774640032	122	1158	1280	1158
Fri Mar 27 20:36:07 2026	1774640167	116	1164	1280	1164
Fri Mar 27 20:33:53 2026	1774640033	117	1163	1280	1163
Fri Mar 27 20:34:55 2026	1774640095	116	1164	1280	1163
Fri Mar 27 20:33:02 2026	1774639982	109	1171	1280	1171
Fri Mar 27 20:33:55 2026	1774640035	127	1154	1280	1153
Fri Mar 27 20:33:33 2026	1774640013	143	1138	1280	1138
Fri Mar 27 20:32:43 2026	1774639963	127	1153	1280	1153
Fri Mar 27 20:35:08 2026	1774640108	145	1136	1280	1136
Fri Mar 27 20:33:23 2026	1774640003	133	1147	1280	1147
Fri Mar 27 20:34:21 2026	1774640061	112	1169	1281	1169
Fri Mar 27 20:34:21 2026	1774640061	112	1169	1281	1169
Fri Mar 27 20:34:03 2026	1774640043	155	1125	1281	1125
Fri Mar 27 20:33:25 2026	1774640005	143	1138	1281	1138
Fri Mar 27 20:32:38 2026	1774639958	119	1161	1281	1161
Fri Mar 27 20:32:32 2026	1774639952	114	1167	1281	1167
Fri Mar 27 20:35:56 2026	1774640156	146	1135	1281	1133
Fri Mar 27 20:33:37 2026	1774640017	146	1135	1281	1135
Fri Mar 27 20:34:27 2026	1774640067	143	1138	1281	1138
